,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4462134647,350,420,13,1592738846083,NONE,JUNGLE
1,KR,4461977044,63,430,13,1592733172322,DUO_SUPPORT,NONE
2,KR,4461839211,64,430,13,1592730584769,NONE,JUNGLE
3,KR,4461763631,96,430,13,1592728612707,DUO_CARRY,BOTTOM
4,KR,4461468159,202,430,13,1592726999296,DUO_SUPPORT,NONE
0,KR,4456109841,350,420,13,1592498393982,DUO_SUPPORT,BOTTOM
1,KR,4456163295,432,420,13,1592495411063,DUO_SUPPORT,MID
2,KR,4455107956,16,420,13,1592472966625,DUO_SUPPORT,BOTTOM
3,KR,4455173694,16,420,13,1592471419458,DUO_SUPPORT,NONE
4,KR,4454982596,350,420,13,1592461359533,DUO_SUPPORT,NONE
0,KR,4457906918,13,450,13,1592580963995,SOLO,TOP
1,KR,4455317031,412,420,13,1592480185286,DUO_SUPPORT,BOTTOM
2,KR,4455300269,412,420,13,1592477835668,DUO_SUPPORT,BOTTOM
3,KR,4454997730,412,420,13,1592463881602,DUO_SUPPORT,NONE
4,KR,4454924494,412,420,13,1592462089498,DUO_SUPPORT,BOTTOM
0,KR,4462329929,82,420,13,1592746237089,DUO,NONE
1,KR,4462300773,223,420,13,1592743167880,DUO_SUPPORT,BOTTOM
2,KR,4462221471,58,420,13,1592740898163,DUO,TOP
3,KR,4462106615,875,420,13,1592739049874,DUO_SUPPORT,NONE
4,KR,4462068086,875,420,13,1592736803267,DUO,MID
0,KR,4462338148,85,420,13,1592745780975,DUO_SUPPORT,NONE
1,KR,4462373412,235,420,13,1592744387660,DUO_SUPPORT,NONE
2,KR,4462232179,235,420,13,1592741097759,DUO_SUPPORT,MID
3,KR,4462102316,236,420,13,1592737739823,DUO,MID
4,KR,4462054778,82,420,13,1592735732677,SOLO,TOP
0,KR,4460665174,21,420,13,1592675968162,DUO_CARRY,BOTTOM
1,KR,4460671998,21,420,13,1592674262667,DUO_SUPPORT,NONE
2,KR,4460587655,21,420,13,1592672300909,DUO_CARRY,BOTTOM
3,KR,4460592551,89,420,13,1592670552699,DUO_SUPPORT,BOTTOM
4,KR,4460497157,157,420,13,1592668604646,DUO_CARRY,BOTTOM
0,KR,4454922548,38,420,13,1592461116332,SOLO,MID
1,KR,4454846661,61,420,13,1592458131199,SOLO,MID
2,KR,4454852016,875,420,13,1592455369734,DUO_SUPPORT,NONE
3,KR,4449622136,104,420,13,1592209055450,NONE,JUNGLE
4,KR,4449362571,4,420,13,1592196203776,DUO,BOTTOM
0,KR,4446162045,875,420,13,1592060327886,NONE,JUNGLE
1,KR,4446053103,875,420,13,1592057982408,NONE,JUNGLE
2,KR,4443971671,64,420,13,1591978334639,NONE,JUNGLE
3,KR,4443883587,875,420,13,1591975908466,NONE,JUNGLE
